,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.49,109,12.42,1.50,110/1
1,1102,亞泥,7.60,109,8.91,1.02,110/1
2,1103,嘉泥,6.31,109,7.74,0.57,110/1
3,1104,環泥,4.88,109,10.30,0.78,110/1
4,1108,幸福,5.51,109,14.60,1.16,110/1
5,1109,信大,6.76,109,6.34,0.98,110/1
15,1219,福壽,4.47,109,12.35,1.55,110/1
16,1220,台榮,5.85,109,13.26,1.24,110/1
36,1313,聯成,4.03,109,6.72,1.19,110/2
38,1315,達新,11.44,109,1.71,0.78,110/1
42,1323,永裕,4.68,109,11.03,1.46,110/1
44,1325,恆大,19.87,109,2.56,1.32,110/1
47,1338,廣華-1KY,5.91,109,11.75,0.77,110/1
53,1409,新纖,5.43,109,9.29,1.07,110/1
57,1416,廣豐,4.98,109,-1,0.53,110/1
61,1423,利華,8.59,109,4.76,0.88,110/2
65,1436,華友聯,4.94,109,7.08,1.24,110/2
84,1457,宜進,8.45,109,5.24,0.84,110/1
91,1467,南緯,4.79,109,11.32,1.07,110/1
128,1539,巨庭,4.55,108,-1,0.91,110/1
131,1558,伸興,5.85,109,9.43,1.85,110/1
136,1587,吉茂,7.03,109,9.71,1.53,110/1
142,1604,聲寶,8.16,109,6.12,1.43,110/1
147,1612,宏泰,5.02,109,9.80,1.40,110/2
154,1701,中化,4.28,109,12.10,0.99,110/1
155,1702,南僑,4.11,109,10.45,1.94,110/1
158,1709,和益,5.77,109,13.87,1.33,110/1
161,1712,興農,5.68,109,11.93,1.38,110/2
163,1714,和桐,6.25,109,5.93,0.89,110/1
164,1717,長興,4.08,109,12.72,1.87,110/2
165,1718,中纖,4.72,109,8.91,0.59,110/1
166,1720,生達,4.70,109,10.55,1.69,110/2
167,1721,三晃,5.34,109,3.48,0.71,110/1
171,1725,元禎,4.50,109,13.34,1.13,110/1
172,1726,永記,4.61,109,13.08,1.32,110/2
196,1817,凱撒衛,5.29,109,11.12,1.51,110/2
198,1904,正隆,4.30,109,11.40,1.74,110/1
238,2107,厚生,6.22,109,9.56,0.71,110/1
242,2115,六暉-1KY,5.73,109,6.00,1.40,110/1
244,2204,中華,10.09,109,8.95,0.94,110/2
245,2206,三陽工業,4.77,109,11.44,1.42,110/1
257,2247,汎德永業,4.92,109,14.35,1.55,110/1
259,2301,光寶科,5.43,109,10.94,1.97,110/2
267,2316,楠梓電,5.12,109,12.06,0.71,110/1
270,2323,中環,7.07,109,9.43,0.61,110/1
271,2324,仁寶,7.32,109,8.37,0.93,110/1
280,2340,台亞,4.25,109,14.86,1.62,110/2
284,2347,聯強,6.27,109,9.87,1.69,110/1
288,2352,佳世達,5.03,109,8.54,1.50,110/1
289,2353,宏碁,5.64,109,8.06,1.33,110/2
293,2357,華碩,8.14,109,6.69,1.09,110/1
298,2363,矽統,5.69,109,-1,0.96,110/1
312,2382,廣達,6.74,109,9.96,1.91,110/1
318,2392,正崴,6.24,109,9.84,0.82,110/1
332,2414,精技,5.59,109,10.88,1.70,110/2
334,2417,圓剛,6.49,109,4.34,1.41,110/1
336,2420,新巨,6.35,109,13.56,1.85,110/1
345,2430,燦坤,4.10,109,12.12,1.29,110/2
347,2433,互盛電,7.14,109,12.96,1.66,110/1
360,2453,凌群,6.05,109,13.19,1.29,110/1
366,2459,敦吉,6.06,109,11.70,1.35,110/1
368,2461,光群雷,4.17,109,13.61,1.37,110/1
375,2471,資通,5.96,109,13.67,1.55,110/2
377,2474,可成,6.92,109,7.49,0.89,110/2
379,2477,美隆電,4.75,109,3.68,1.35,110/1
380,2478,大毅,4.53,109,14.03,1.57,110/1
388,2488,漢平,5.07,109,12.28,1.12,110/2
397,2501,國建,4.90,109,14.37,0.96,110/1
398,2504,國產,6.73,109,9.61,1.26,110/1
399,2505,國揚,8.62,109,2.07,1.16,110/1
406,2520,冠德,9.02,109,4.16,1.08,110/2
408,2527,宏璟,4.90,109,13.43,0.80,110/1
412,2535,達欣工,8.28,109,8.68,1.23,110/2
415,2538,基泰,4.44,109,-1,0.78,110/1
418,2542,興富發,4.09,109,11.26,1.90,110/1
420,2545,皇翔,10.20,109,7.86,1.24,110/1
421,2546,根基,7.90,109,6.74,1.37,110/2
423,2548,華固,8.28,109,8.29,1.49,110/1
425,2601,益航,7.85,108,-1,1.35,110/1
438,2616,山隆,6.36,109,11.89,0.90,110/1
461,2809,京城銀,4.43,109,6.49,0.95,110/1
462,2812,台中銀,5.75,109,11.65,0.85,110/1
464,2820,華票,5.26,109,12.73,0.87,110/1
466,2832,台產,5.60,109,13.28,0.75,110/1
469,2838,聯邦銀,5.19,109,9.96,0.66,110/1
471,2845,遠東銀,4.86,109,12.59,0.75,110/1
472,2849,安泰銀,4.74,109,14.81,0.86,110/1
473,2850,新產,4.69,109,6.94,0.95,110/1
474,2851,中再保,4.63,109,8.93,1.17,110/1
476,2855,統一證,7.13,109,6.82,1.23,110/1
480,2882,國泰金,4.55,109,7.43,0.95,110/1
483,2885,元大金,4.69,109,10.58,1.19,110/1
485,2887,台新金,5.94,109,12.14,1.05,110/1
486,2888,新光金,4.39,109,7.07,0.53,110/1
487,2889,國票金,6.12,109,11.35,1.23,110/1
488,2890,永豐金,4.93,109,11.18,1.01,110/1
489,2891,中信金,4.57,109,9.13,1.13,110/1
493,2903,遠百,4.88,109,12.39,0.98,110/1
494,2904,匯僑,7.13,109,13.68,1.77,110/2
495,2905,三商,4.26,109,10.59,1.00,110/1
497,2908,特力,4.42,109,12.67,1.88,110/1
502,2915,潤泰全,5.38,109,4.25,0.59,110/1
506,2939,凱羿-1KY,5.90,109,-1,1.46,110/1
513,3010,華立,4.85,109,9.95,1.51,110/1
517,3015,全漢,7.38,109,10.84,0.64,110/2
529,3028,增你強,6.73,109,9.84,1.32,110/1
533,3032,偉訓,7.48,109,10.16,1.79,110/1
534,3033,威健,5.54,109,10.00,1.50,110/1
537,3036,文曄,4.73,109,13.36,1.33,110/1
539,3038,全台,6.38,109,11.60,1.52,110/1
540,3040,遠見,14.07,109,9.16,1.35,110/2
544,3044,健鼎,6.34,109,9.28,1.74,110/2
548,3048,益登,8.13,109,9.12,1.99,110/1
550,3050,鈺德,4.17,109,14.12,0.90,110/1
552,3052,夆典,6.69,109,6.39,0.77,110/1
555,3056,總太,6.97,109,5.91,1.52,110/1
561,3090,日電貿,5.93,109,12.48,1.97,110/2
570,3209,全科,6.57,109,10.50,1.86,110/1
572,3231,緯創,8.09,109,8.24,1.13,110/2
579,3312,弘憶股,4.14,109,12.71,1.95,110/1
584,3376,新日興,6.78,109,11.59,1.24,110/1
598,3501,維熹,5.19,109,13.39,1.00,110/1
608,3543,州巧,4.28,109,-1,0.84,110/2
618,3596,智易,7.14,109,9.78,1.71,110/2
621,3617,碩天,6.84,109,12.91,1.53,110/1
627,3669,圓展,7.51,109,5.58,1.79,110/2
629,3679,新至陞,10.95,109,7.72,1.40,110/2
634,3702,大聯大,5.63,109,11.65,1.52,110/1
635,3703,欣陸,5.92,109,12.19,0.81,110/2
643,4104,佳醫,6.34,109,13.80,1.08,110/1
653,4164,承業醫,5.78,109,14.20,0.90,110/2
655,4306,炎洲,6.97,109,4.58,0.86,110/2
657,4426,利勤,5.43,108,-1,1.25,110/1
659,4439,冠星-1KY,4.41,109,10.37,1.82,110/1
678,4722,國精化,5.53,109,9.56,1.28,110/2
682,4755,三福化,4.87,109,14.39,1.62,110/2
685,4766,南寶,4.86,109,13.52,1.53,110/1
688,4906,正文,7.09,109,6.10,0.91,110/1
690,4915,致伸,5.71,109,10.50,1.84,110/2
693,4927,泰鼎-1KY,5.14,109,10.37,1.49,110/1
694,4930,燦星網,14.55,109,8.59,0.94,110/2
696,4935,茂林-1KY,6.25,109,7.29,1.52,110/1
697,4938,和碩,6.60,109,7.76,1.18,110/1
698,4942,嘉彰,4.73,109,8.73,0.95,110/2
702,4958,臻鼎-1KY,4.48,109,11.62,1.27,110/1
711,4999,鑫禾,7.26,109,9.74,0.91,110/2
714,5215,科嘉-1KY,9.65,109,5.96,1.80,110/1
726,5469,瀚宇博,4.62,109,6.74,0.83,110/1
729,5515,建國,5.54,109,9.51,0.80,110/1
730,5519,隆大,8.13,109,11.08,1.10,110/1
731,5521,工信,11.58,109,4.23,0.82,110/1
732,5522,遠雄,8.02,109,10.02,1.10,110/1
736,5534,長虹,6.26,109,12.20,1.25,110/1
738,5546,永固-1KY,8.40,109,7.86,1.69,110/1
743,5876,上海商銀,4.09,109,13.68,1.17,110/1
747,6005,群益證,6.90,109,6.06,0.93,110/1
748,6024,群益期,7.23,109,13.55,1.28,110/1
750,6112,聚碩,6.39,109,12.67,1.81,110/2
751,6115,鎰勝,6.53,109,14.14,1.65,110/1
769,6176,瑞儀,8.09,109,8.40,1.64,110/2
772,6184,大豐電,6.89,109,13.12,1.45,110/2
773,6189,豐藝,6.53,109,12.49,1.86,110/1
775,6192,巨路,4.74,109,9.34,1.46,110/2
778,6201,亞弘電,6.67,109,11.61,1.70,110/2
784,6214,精誠,5.78,109,10.16,1.52,110/1
792,6239,力成,4.41,109,13.02,1.84,110/1
818,6451,訊芯-1KY,4.15,109,11.60,1.64,110/1
836,6591,動力-1KY,4.60,109,8.32,1.31,110/1
837,6592,和潤企業,4.27,109,14.75,1.84,110/2
841,6641,基士德-1KY,7.17,109,9.02,1.62,110/1
847,6671,三能-1KY,5.88,109,12.38,1.82,110/1
854,6754,匯僑設計,6.00,109,13.29,1.55,110/1
857,6776,展碁國際,4.80,109,13.48,1.85,110/2
864,8039,台虹,4.66,109,12.61,1.44,110/2
871,8104,錸寶,5.63,109,13.19,1.74,110/1
876,8131,福懋科,6.02,109,12.13,1.46,110/2
877,8150,南茂,4.07,109,11.71,1.70,110/2
878,8163,達方,5.35,109,12.27,1.45,110/2
881,8213,志超,7.31,109,8.05,1.02,110/2
884,8249,菱光,4.65,109,14.71,0.97,110/1
886,8271,宇瞻,4.23,109,13.07,1.57,110/2
901,8466,美吉吉-1KY,5.28,109,14.99,1.53,110/1
916,9905,大華,5.59,109,13.49,1.08,110/2
926,9919,康那香,11.41,109,7.01,1.95,110/2
928,9924,福興,6.47,109,10.39,1.23,110/2
938,9935,慶豐富,4.04,109,8.52,1.66,110/1
941,9939,宏全,4.59,109,12.06,1.85,110/1
947,9945,潤泰新,7.75,109,7.91,1.03,110/1
