,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,189,426,8,491,998,45.00,45.00,44.80
1,110/04/06,227,762,10,211,781,44.95,45.05,44.50
2,110/04/07,265,390,11,891,282,44.85,44.95,44.75
3,110/04/08,137,651,6,173,411,44.95,44.95,44.70
4,110/04/09,78,360,3,520,123,44.85,45.00,44.85
5,110/04/12,196,995,8,844,168,44.80,44.95,44.80
6,110/04/13,119,390,5,360,228,44.95,45.00,44.85
7,110/04/14,261,020,11,706,757,44.85,44.95,44.75
8,110/04/15,94,607,4,244,384,44.85,44.90,44.80
9,110/04/16,312,044,14,008,092,44.85,45.00,44.75
10,110/04/19,311,102,13,976,168,45.00,45.00,44.90
11,110/04/20,192,626,8,655,985,44.90,45.00,44.85
